Messstellennummer,Messstellenname,Gewaesser,Betreiber,Datum,Wasserstand,Einheit,Ganglinien,Klassifikation,stammdaten_link
585950,Kersdorf UP,Spree-Oder-Wasserstrasse,WSV,21.01.2024 06:00,229,cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=wws&station=585950,niedrig,https://wasserportal.berlin.de/station.php?anzeige=i&thema=wws&station=585950
585940,Kersdorf OP,Spree-Oder-Wasserstrasse,WSV,21.01.2024 06:00,216,cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=wws&station=585940,niedrig,https://wasserportal.berlin.de/station.php?anzeige=i&thema=wws&station=585940
587020,Kleinmachnow OP,Teltowkanal,WSV,21.01.2024 06:15,205,cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=wws&station=587020,normal,https://wasserportal.berlin.de/station.php?anzeige=i&thema=wws&station=587020
596030,Waren,Müritz-Elde-Wasserstrasse,WSV,21.01.2024 06:00,211,cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=wws&station=596030,niedrig,https://wasserportal.berlin.de/station.php?anzeige=i&thema=wws&station=596030
585860,Neuhaus UP,Neuhauser Speisekanal,WSV,21.01.2024 06:15,88,cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=wws&station=585860,normal,https://wasserportal.berlin.de/station.php?anzeige=i&thema=wws&station=585860
586610,Berlin-Oberschleuse UP,Landwehrkanal,WSV,21.01.2024 06:00,404,cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=wws&station=586610,niedrig,https://wasserportal.berlin.de/station.php?anzeige=i&thema=wws&station=586610
586280,Neue Mühle Schleuse UP,Dahme-Wasserstrasse,WSV,21.01.2024 06:00,126,cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=wws&station=586280,niedrig,https://wasserportal.berlin.de/station.php?anzeige=i&thema=wws&station=586280
582670,Grosse Tränke Wehr UP,Müggelspree,WSV,21.01.2024 06:15,150,cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=wws&station=582670,niedrig,https://wasserportal.berlin.de/station.php?anzeige=i&thema=wws&station=582670
586630,Berlin-Unterschleuse UP,Landwehrkanal,WSV,21.01.2024 06:15,276,cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=wws&station=586630,niedrig,https://wasserportal.berlin.de/station.php?anzeige=i&thema=wws&station=586630
580430,Ketzin,Untere Havel-Wasserstrasse,WSV,21.01.2024 06:15,100,cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=wws&station=580430,"niedrig, kein Alarm",https://wasserportal.berlin.de/station.php?anzeige=i&thema=wws&station=580430
587050,Schönwalde OP,Havelkanal,WSV,21.01.2024 06:15,352,cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=wws&station=587050,niedrig,https://wasserportal.berlin.de/station.php?anzeige=i&thema=wws&station=587050
690050,Eisenhuettenstadt Schl. OP,Spree-Oder-Wasserstrasse,WSV,21.01.2024 06:15,216,cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=wws&station=690050,normal,https://wasserportal.berlin.de/station.php?anzeige=i&thema=wws&station=690050
580300,Berlin-Spandau OP,Havel-Oder-Wasserstrasse,WSV,21.01.2024 06:00,354,cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=wws&station=580300,niedrig,https://wasserportal.berlin.de/station.php?anzeige=i&thema=wws&station=580300
582650,Fuerstenwalde UP,Spree-Oder-Wasserstrasse,WSV,21.01.2024 06:15,61,cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=wws&station=582650,niedrig,https://wasserportal.berlin.de/station.php?anzeige=i&thema=wws&station=582650
